t,px,py,pz,qw,qx,qy,qz,alt,tilt,yawrate,yawcmd,alt_est,tilt_est,m0,m1,m2,m3
2.8000,0.00000,-0.00000,0.49820,0.808899,0.000000,0.000000,-0.587948,0.4982,0.000,1.0023,1.0000,0.0000,0.000,0.6517,0.6517,0.6517,0.6517
2.8200,0.00000,-0.00000,0.49817,0.802965,0.000000,0.000000,-0.596026,0.4982,0.000,1.0023,1.0000,0.0000,0.000,0.6517,0.6517,0.6517,0.6517
2.8400,0.00000,-0.00000,0.49814,0.796951,0.000000,0.000000,-0.604044,0.4981,0.000,1.0023,1.0000,0.0000,0.000,0.6517,0.6517,0.6517,0.6517
2.8600,0.00000,-0.00000,0.49812,0.790856,0.000000,0.000000,-0.612002,0.4981,0.000,1.0023,1.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
2.8800,0.00000,-0.00000,0.49809,0.784682,0.000000,0.000000,-0.619898,0.4981,0.000,1.0023,1.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
2.9000,0.00000,-0.00000,0.49806,0.778430,0.000000,0.000000,-0.627732,0.4981,0.000,1.0023,1.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
2.9200,0.00000,-0.00000,0.49803,0.772099,0.000000,0.000000,-0.635503,0.4980,0.000,1.0023,1.0000,-0.0000,0.000,0.6517,0.6517,0.6517,0.6517
2.9400,0.00000,-0.00000,0.49800,0.765690,0.000000,0.000000,-0.643209,0.4980,0.000,1.0023,1.0000,-0.0001,0.000,0.6517,0.6517,0.6517,0.6517
2.9600,0.00000,-0.00000,0.49798,0.759205,0.000000,0.000000,-0.650852,0.4980,0.000,1.0023,1.0000,-0.0001,0.000,0.6517,0.6517,0.6517,0.6517
2.9800,0.00000,-0.00000,0.49795,0.752643,0.000000,0.000000,-0.658428,0.4980,0.000,1.0023,1.0000,-0.0001,0.000,0.6517,0.6517,0.6517,0.6517
3.0000,0.00000,-0.00000,0.49792,0.746006,0.000000,0.000000,-0.665939,0.4979,0.000,1.0023,1.0000,-0.0001,0.000,0.6517,0.6517,0.6517,0.6517
